"","topic","Recall","Precision","Fmeasure","Accuracy","nexp","npred"
"acq","acq","0.9","8.7","1.6","89.1","2448","253"
"earn","earn","11.1","15.2","12.8","75.4","3987","2904"
"money.fx","money.fx","0.5","5.6","0.9","96.5","801","72"
"macro.avg","macro.avg","0.1","0.2","0.1","99.4","0","0"
"micro.avg","micro.avg","3.3","14.5","5.4","99.4","0","0"
