"","topic","Recall","Precision","Fmeasure","Accuracy","nexp","npred"
"earn","earn","81.9","16.2","27.1","28.1","3987","20137"
"macro.avg","macro.avg","0.7","0.1","0.2","99","0","0"
"micro.avg","micro.avg","22.9","16.2","19","99","0","0"
