"","topic","Recall","Precision","Fmeasure","Accuracy","nexp","npred"
"acq","acq","0.6","17.4","1.2","89.8","2448","86"
"crude","crude","0.6","9.3","1.2","97.3","634","43"
"earn","earn","0.8","12.1","1.5","82.9","3987","273"
"macro.avg","macro.avg","0","0.3","0","99.5","0","0"
"micro.avg","micro.avg","0.4","12.9","0.7","99.5","0","0"
